solID,mape,decomp.rssd,nrmse,tv_S,ooh_S,print_S,facebook_S,search_S,cluster,top_sol
3_131_2,0,0.289169944082301,0.0519822061673742,0.174126887104144,0.534552404685111,1,0,0.152634577701126,2,FALSE
3_131_8,0,0.1928780545476,0.0539845913236903,0.108201176187304,0.104167339058295,0.252513281656583,0.113826611997792,0.399741984611211,4,FALSE
3_132_10,0,0.0572098494758805,0.0620028558026872,0.774979042073511,0.593180987643503,0.237448622683418,0.841491027065822,0.682994018896756,3,FALSE
3_132_12,0,0.0938162773831922,0.0567736551663922,0.33120144805963,0.447683941994209,0.107941377516051,0.422485802634535,0.555975211921629,4,FALSE
3_134_10,0,0.182622825216768,0.0541159186571492,0.400282652944691,0.323518391740627,0.42623738484758,0.177736645203002,0.454109418284073,2,FALSE
3_135_4,0,0.0776663299458405,0.0572308741983076,0.388098601748831,0.548997219559956,0.277992398075747,0.583987790584394,0.792182234098476,3,FALSE
3_135_5,0,0.194723134913009,0.0537681234855497,0.288036220290696,0.801859434014886,0.547803784872668,0.0936271960793094,0.737416482965209,1,FALSE
3_137_11,0,0.174401450890269,0.0543340863945963,0.24959287081528,0.703183801314345,0.314292553251676,0.132347086874873,0.72472584580348,1,FALSE
3_139_4,0,0.187911045014149,0.0538015640129173,0.294038199168521,0.479497882230657,0.691801644332743,0.184842039422126,0.755147168888157,1,FALSE
3_140_12,0,0.0653470141575667,0.0577620487936123,0.28960534833713,0.435521349422684,0.0711417203501412,0.527861901329792,0.62489952011306,4,FALSE
3_140_4,0,0.0776754718090458,0.0572445442643519,0.388211186834566,0.554888008465897,0.277098324595133,0.583064105213091,0.79442430946553,3,FALSE
3_140_5,0,0.175122148578496,0.0543143031106088,0.251179017042026,0.705423797821434,0.32582671749683,0.131065542593922,0.725601029758689,1,FALSE
3_141_11,0,0.0768757233968194,0.0574537618094534,0.214797425087857,0.344269695222968,0.0842470673115279,0.467611596063062,0.563521242288399,4,FALSE
3_141_12,0,0.0496498107117326,0.0653341437744645,0.723457939153701,1,0.429432210915806,0.904372640250955,0.84387854202486,3,FALSE
3_142_10,0,0.0698575296960442,0.0578726317694866,0.268702778602574,0.638536886390199,0.14823011482641,0.55127950943484,0.642283552941747,3,FALSE
3_142_6,0,0.121362819356323,0.0558513656404984,0.297305640789116,0.361563213547272,0.231003384650948,0.337168532279742,0.538710354270664,4,FALSE
3_145_6,0,0.0915908581754853,0.0569085107697171,0.333554740878294,0.433734723768112,0.0729739526304737,0.427641238269667,0.565583413029906,4,FALSE
3_147_10,0,0.211570460288753,0.0533859818055566,0.485907683015632,0.677085572903274,0.64877633354144,0.0395228946185904,0.584421698949645,1,FALSE
3_147_12,0,0.101977224920328,0.0567578329467913,0.334579268586492,0.433091909146018,0.112243589883897,0.412467895087603,0.449717147211562,4,FALSE
3_150_8,0,0.0656351010400143,0.0580084301822447,0.45598740177097,0.501488220748804,0.104526699660365,0.601986171769411,0.767878743519676,3,FALSE
3_151_7,0,0.102245775294765,0.0570093993232929,0.221385568555137,0.345957212061572,0.299715268536117,0.463071635185352,0.451329254177815,4,TRUE
3_153_10,0,0.170702297905622,0.054617228294126,0.0720243588153441,0.0209118229182175,0.232330624912833,0.228610800688111,0.332453294592014,4,FALSE
3_155_3,0,0.0599728820268747,0.0607993086908521,0.283423597010663,0.432623485573478,0.164906823898736,0.626706729241158,0.449047368466996,4,FALSE
3_155_8,0,0.0646301861940195,0.05792282188695,0.455333083303263,0.482997344007394,0.108032521537285,0.610033167191682,0.752639417284661,3,FALSE
3_157_3,0,0.172921934258547,0.0545598503615485,0.159255199474264,0.36716246460642,0.378029393584742,0.156127831250348,0.527716910162954,4,FALSE
3_159_11,0,0.102837890843752,0.0566198005646094,0.222365920842167,0.374753057152627,0.276530771621982,0.427616388549388,0.657625776655478,4,FALSE
3_159_12,0,0.127925885328004,0.0553053103639098,0.324284793407027,0.349827122571228,0.237399960217428,0.314981313713872,0.595635547994905,4,FALSE
3_160_11,0,0.186150751460803,0.0539973464947196,0.188589987725611,0.599081068580945,0.25802670055422,0.0933824736956182,0.505513388717737,4,FALSE
3_163_1,0,0.15688600094553,0.0546485186829851,0.233334759269878,0.588711339346494,0.476998535633688,0.256479431981506,0.863960992341282,1,FALSE
3_164_12,0,0.116650857886565,0.0559701660387879,0.332454925285225,0.396863819718792,0.224143782612075,0.358827462033515,0.712723195258007,4,FALSE
3_167_11,0,0.141530381921656,0.0553789984601942,0.44158126152768,0.395235262721821,0.511169288451395,0.369711432346346,0.706073787017569,1,FALSE
3_32_11,0,0.277688061879542,0.0517890619485175,0.266562049831785,0.58540637007032,0.8876375071769,0,0.13166917543223,2,FALSE
3_55_1,0,0.041907625492563,0.0656464545285852,0.515357509172238,0.884274400923246,0.323310884107534,0.930474155768528,0.694250398717642,3,FALSE
3_70_3,0,0.053194427946857,0.0629885442809117,0.305345125549587,0.460521569254202,0.265835149972778,0.776483734417373,0.651378715683467,3,FALSE
3_80_8,0,0.026421927863413,0.0670139463360548,0.512782578501111,0.636161840937433,0.104179935044761,1,0.760962158213756,3,FALSE
3_82_12,0,0.0598707181149448,0.0603951539864978,0.415637273922401,0.448658756653974,0.217775467471891,0.695106528885891,0.721706148218518,3,FALSE
3_82_7,0,0.0386813075857686,0.0669448661285034,0.562524904413718,0.94411891804109,0.223095328830608,0.964447920352277,0.919086877225123,3,FALSE
3_83_6,0,0.27988796540078,0.0520018813571069,0.109823061368656,0.269315148985983,0.411078719168341,0,0,2,FALSE
3_86_9,0,0.0904851599187806,0.0570704166999651,0.2633573581996,0.419099372544421,0.231855113279512,0.493039276530991,0.766919559831764,4,FALSE
3_91_12,0,0.0528642255047258,0.0635561406769524,0.585780052435023,0.578824297186574,0.283066530166922,0.789491129260006,0.700223852858859,3,FALSE
3_95_6,0,0.0551434716132315,0.0625429898864641,0.393687037232241,0.510525364768027,0.191761524430523,0.813041599652436,0.868268699454369,3,FALSE
3_96_3,0,0.283023889402867,0.0514070505382344,0.20709516462435,0.587920754247133,0.79837456898265,0,0.0559983938333416,2,FALSE
3_97_1,0,0.0349848724722392,0.0662059728715865,0.393239722192946,0.493644080955571,0.155603472665021,0.87590699108539,0.594672286405095,3,FALSE
3_98_4,0,0.0982140446628004,0.0571569779450104,0.244506239981325,0.264733931797035,0.219394365439152,0.458534210290033,0.52047173103679,4,FALSE
3_98_9,0,0.282172499410811,0.0514204697887086,0.209097809071892,0.612414745501373,0.799431627269322,0,0.0597715255083275,2,FALSE
5_113_11,0,0.182924823167566,0.0541769058522814,0.494738353437296,0.638161273246992,0.628483962452139,0.172471811813855,0.559809350181458,1,FALSE
5_116_5,0,0.181071219643818,0.0541216982558754,0.489187826820248,0.631774002117936,0.60631899166052,0.173576651326677,0.564541542505944,1,FALSE
5_122_12,0,0.102566511361477,0.0567966242071726,0.223521935304135,0.377547158809502,0.0812783778338409,0.392286300814785,0.780396568400696,4,FALSE
5_124_6,0,0.0789153619234485,0.0572882202494819,0.347559079167226,0.53583665241668,0.0955946317632,0.519544182087197,0.818504571927287,3,FALSE
5_129_4,0,0.145804814249508,0.0550119231638329,0.35046914769989,0.427755743925254,0.187977443110917,0.234549172706876,0.518505346880094,4,FALSE
